ID,AGE,TENURE_1,TENURE_2,TENURE_3,TENURE_4,TENURE_5,TENURE_6,TENURE_7,TENURE_8,TENURE_9,TENURE_10,CATEGORY_ID,COMPANY_ID,INSURANCE_COMPANY_ID,PRODUCT_ID,SUB_PRODUCT_ID,SECTOR_ID,START_DT,END_DT,POLICYNO,FINAME,LOAN_TYPE,REGION_ID,COI_ISSUE_STATUS,DOGH_SUBMITTED,ROLE_ASSOCIATED,CREATED_ON,ACTIVE
34,51,15.89,29,36.93,44.99,53.55,62.59,72.09,82.02,92.35,113.29,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
35,52,17.69,32.13,40.46,49.31,58.67,68.51,78.8,89.51,100.6,123.18,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
36,53,19.61,35.05,44.2,53.86,64.04,74.68,85.77,97.26,109.13,133.4,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
37,54,21.64,38.1,48.08,58.58,69.58,81.04,92.93,105.22,117.88,143.89,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
38,55,23.75,41.25,52.08,63.41,75.25,87.54,100.25,113.36,126.84,154.65,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
39,56,25.9,44.47,56.15,68.34,81.02,94.16,107.73,121.69,136.03,165.72,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
40,57,28.1,47.74,60.3,73.36,86.92,100.93,115.39,130.26,145.52,177.2,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
41,58,30.34,51.08,64.53,78.5,92.97,107.91,123.32,139.16,155.42,189.19,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
42,59,32.48,54.51,68.9,83.81,99.25,115.19,131.61,148.51,165.85,201.89,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
43,60,34.5,58.08,73.45,89.38,105.86,122.88,140.42,158.46,176.99,215.48,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
44,61,36.62,61.85,78.29,95.32,112.93,131.13,149.89,169.2,189.03,230.17,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
45,62,38.89,65.9,83.5,101.73,120.6,140.09,160.2,180.9,202.14,246.18,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
46,63,41.35,70.32,89.18,108.74,129,149.93,171.52,193.73,216.53,263.71,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
47,64,44.05,75.18,95.46,116.5,138.28,160.8,184.02,207.89,232.36,282.96,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
48,65,47.05,80.59,102.45,125.12,148.6,172.86,197.85,223.52,249.8,304.1,2,1,1,2,1,1,"2025-06-01 00:00:00","2030-12-31 00:00:00",,,,,,,"Single Life","2025-06-20 00:00:00",A
