RATE_CARD_ID,AGE,TENURE_1,TENURE_2,TENURE_3,TENURE_4,TENURE_5,TENURE_6,TENURE_7,CATEGORY_ID,COMPANY_ID,INSURANCE_COMPANY_ID,PRODUCT_ID,SUB_PRODUCT_ID,SECTOR_ID,START_DT,END_DT,POLICYNO,FINAME,LOAN_TYPE,REGION_ID,COI_ISSUE_STATUS,DOGH_SUBMITTED,ROLE_ASSOCIATED,CREATED_ON,ACTIVE
11,28,3.45,3.45,4.96,6.5,8.06,9.65,11.28,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
12,29,3.51,3.51,5.05,6.63,8.24,9.88,11.57,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
13,30,3.58,3.58,5.16,6.79,8.46,10.17,11.94,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
14,31,3.67,3.67,5.31,6.99,8.73,10.53,12.38,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
15,32,3.78,3.78,5.48,7.24,9.07,10.96,12.92,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
16,33,3.91,3.91,5.7,7.55,9.47,11.47,13.55,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
17,34,4.08,4.08,5.95,7.91,9.94,12.07,14.29,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
18,35,4.27,4.27,6.25,8.33,10.5,12.77,15.16,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
19,36,4.49,4.49,6.6,8.82,11.14,13.59,16.16,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
20,37,4.75,4.75,7.01,9.38,11.88,14.52,17.31,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
21,38,5.05,5.05,7.47,10.03,12.74,15.61,18.64,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
22,39,5.4,5.4,8.01,10.78,13.73,16.85,20.18,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
23,40,5.79,5.79,8.63,11.65,14.86,18.29,21.95,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
24,41,6.25,6.25,9.34,12.65,16.18,19.95,23.99,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
25,42,6.79,6.79,10.17,13.81,17.7,21.87,26.33,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
26,43,7.4,7.4,11.13,15.14,19.45,24.07,29.02,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
27,44,8.11,8.11,12.24,16.68,21.46,26.58,32.05,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
28,45,8.93,8.93,13.51,18.44,23.73,29.41,35.46,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
29,46,9.87,9.87,14.95,20.42,26.29,32.56,39.23,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
30,47,10.93,10.93,16.57,22.63,29.12,36.03,43.36,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
31,48,12.1,12.1,18.36,25.06,32.21,39.79,47.79,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
32,49,13.38,13.38,20.3,27.68,35.52,43.8,52.5,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
33,50,14.76,14.76,22.37,30.46,39.01,48.02,57.44,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
34,51,16.22,16.22,24.55,33.38,42.67,52.42,62.59,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
35,52,17.75,17.75,26.83,36.41,46.47,56.98,67.92,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
36,53,19.33,19.33,29.19,39.55,50.4,61.7,73.43,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
37,54,20.97,20.97,31.62,42.79,54.45,66.58,79.15,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
38,55,22.66,22.66,34.14,46.15,58.67,71.67,85.13,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
39,56,24.42,24.42,36.77,49.67,63.1,77.02,91.43,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
40,57,26.27,26.27,39.54,53.38,67.78,82.7,98.13,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
41,58,28.23,28.23,42.49,57.35,72.79,88.79,105.32,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
42,59,30.34,30.34,45.66,61.62,78.2,95.36,113.09,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
43,60,32.63,32.63,49.1,66.26,84.08,102.51,121.53,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
44,61,35.13,35.13,52.87,71.34,90.5,110.31,130.73,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
45,62,37.87,37.87,57,76.91,97.53,118.83,140.75,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
46,63,40.9,40.9,61.55,83.02,105.23,128.14,151.66,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
47,64,44.24,44.24,66.55,89.72,113.66,138.29,163.53,2,1,1,2,1,1,"2022-08-01 00:00:00","2030-08-01 00:00:00",CR000020,"Demo Client",Auto,0,Y,Y,"Single Life","2023-06-23 00:00:00",A
