ID,ACTIVE,AGE,CATEGORY_ID,COI_ISSUE_STATUS,COMPANY_ID,CREATED_ON,DOGH_SUBMITTED,END_DT,FINAME,INSURANCE_COMPANY_ID,LOAN_TYPE,POLICYNO,PRODUCT_ID,REGION_ID,ROLE_ASSOCIATED,SECTOR_ID,START_DT,SUB_PRODUCT_ID,TENURE_1,TENURE_10,TENURE_2,TENURE_3,TENURE_4,TENURE_5,TENURE_6,TENURE_7,TENURE_8,TENURE_9,RATE_CARD_ID
36,A,53,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,26.51,0,26.51,43.04,52.45,62.43,72.96,84.05,0,0,0
37,A,54,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,28.949,0,28.949,46.55,56.69,67.41,78.72,90.62,0,0,0
38,A,55,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,31.535,0,31.535,50.2,61.09,72.6,84.74,97.51,0,0,0
39,A,56,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,34.123,0,34.123,54.01,65.7,78.06,91.08,104.79,0,0,0
40,A,57,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,36.685,0,36.685,58.04,70.59,83.86,97.85,112.58,0,0,0
41,A,58,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,39.598,0,39.598,62.34,75.83,90.09,105.13,120.97,0,0,0
42,A,59,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,43.126,0,43.126,66.98,81.49,96.83,113.02,130.08,0,0,0
43,A,60,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,47.268,0,47.268,72.03,87.66,104.19,121.64,140.03,0,0,0
44,A,61,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,52.02,0,52.02,77.56,94.42,112.25,131.08,150.92,0,0,0
45,A,62,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,57.381,0,57.381,83.64,101.84,121.11,141.44,162.86,0,0,0
46,A,63,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,63.35,0,63.35,90.34,110.02,130.84,152.81,175.94,0,0,0
47,A,64,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,69.023,0,69.023,97.71,119,141.52,165.27,190.25,0,0,0
48,A,65,2,,1,"2023-12-22 00:00:00",,"2030-12-31 00:00:00",,1,,,2,,,1,"2024-01-01 00:00:00",1,0,0,0,0,0,0,0,0,0,0,0
